,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF,GRAD
7425,198,53,4,30,0,3.1,2,71.8760599,2012,0
7496,198,53,5,31,0,3.1,1,72.8090054,2012,0
7497,198,53,5,31,0,3.1,2,71.3569473,2012,0
7568,198,53,13,23,0,2.4,1,59.7563931,2011,1
7569,198,53,13,23,0,2.4,2,50.039574,2011,1
7640,198,48,77,34,0,2.4,1,59.9492574,2011,1
7641,198,48,77,34,0,2.4,2,57.5621719,2011,1
7711,95,110,15,24,0,2.4,1,68.8691918,2011,1
7712,95,110,15,24,0,2.4,2,70.0079384,2011,1
7777,95,110,19,1,0,2.8,1,55.7352404,2011,1
7778,95,110,19,1,0,2.8,2,55.0653457,2011,1
7783,198,53,74,29,0,2.7,1,59.5323018,2011,0
7784,198,53,75,38,0,2.7,2,55.6244587,2011,0
7785,198,53,75,38,0,2.3,1,52.942798,2011,0
7786,198,53,77,34,0,2.3,2,48.3650602,2011,0
7847,198,53,77,34,0,2.8,1,62.7480939,2011,1
7848,198,53,80,29,0,2.8,2,62.9561255,2011,1
7853,198,53,80,29,0,2.7,1,58.6002485,2011,0
7854,95,110,23,45,0,2.7,2,61.6071167,2011,0
7855,95,110,23,45,0,2.3,1,60.4661395,2011,0
7856,198,56,4,30,0,2.3,2,64.4081837,2011,0
7919,198,56,4,30,0,2.8,1,70.5270511,2011,1
7920,95,110,82,40,0,2.8,2,67.0010703,2011,1
7925,95,110,82,40,0,2.7,1,65.3409805,2011,0
7926,198,56,13,23,0,2.7,2,69.6970062,2011,0
7927,198,56,13,23,0,2.3,1,69.6970062,2011,0
7928,95,117,15,24,0,2.3,2,71.1489156,2011,0
7991,95,117,15,24,0,2.8,1,63.6667641,2011,1
7992,95,117,19,1,0,2.8,2,64.7823135,2011,1
7997,95,117,19,1,0,2.7,1,63.6667641,2011,0
7998,198,56,74,29,0,2.7,2,69.2516489,2011,0
7999,198,56,74,29,0,2.3,1,62.5488355,2011,0
8000,198,56,75,38,0,2.3,2,63.6667641,2011,0
8414,198,56,75,38,0,3.0,1,59.1193612,2011,1
8415,198,56,77,34,0,3.0,2,61.6071167,2011,1
8484,198,56,77,34,0,3.0,1,65.6520614,2011,1
8485,198,56,80,29,0,3.0,2,68.4531284,2011,1
8556,198,56,80,29,0,3.0,1,73.7184563,2011,1
8557,95,117,23,45,0,3.0,2,65.9002422,2011,1
9062,95,117,23,45,0,3.6,1,56.6292264,2011,1
9063,310,70,22,44,0,3.6,2,60.7793023,2011,1
9134,310,70,22,44,0,3.6,1,67.5201829,2011,1
9135,310,70,82,40,0,3.6,2,68.6611601,2011,1
9206,310,70,82,40,0,3.6,1,55.84855,2011,1
9207,198,57,4,30,0,3.6,2,81.5368191,2011,1
10557,198,57,4,30,0,2.6,1,59.6456114,2011,0
10558,95,117,82,40,0,2.6,2,62.1031808,2011,0
10629,95,117,82,40,0,2.6,1,58.888727,2011,0
10630,198,57,13,23,0,2.6,2,63.4260184,2011,0
10700,198,57,13,23,0,2.6,2,61.4332861,2011,0
10758,95,118,15,24,0,2.6,1,58.3932577,2011,0
10811,95,118,15,24,0,2.6,1,52.1704488,2011,0
10812,95,118,19,1,0,2.6,2,56.6292264,2011,0
10883,95,118,19,1,0,2.6,1,37.9759672,2011,0
10884,198,57,74,29,0,2.6,2,46.9122586,2011,0
10953,198,57,74,29,0,2.6,1,67.5323763,2011,0
10954,198,57,75,38,0,2.6,2,64.7656591,2011,0
11025,198,57,75,38,0,2.6,1,48.0276593,2011,0
11026,198,57,77,34,0,2.6,2,54.7304727,2011,0
11093,198,57,77,34,0,2.6,1,48.0276593,2011,0
11094,198,57,80,29,0,2.6,2,63.6667641,2011,0
11161,198,57,80,29,0,2.6,2,65.6096818,2011,0
11400,95,118,23,45,0,3.1,1,64.1124188,2012,0
11401,95,118,23,45,0,3.1,2,48.5867723,2012,0
11445,310,99,22,44,0,3.1,2,58.1928098,2012,0
11478,310,99,22,44,0,3.1,1,38.7212529,2012,0
11479,310,99,82,40,0,3.1,2,37.209566,2012,0
11511,198,58,4,30,0,3.1,1,51.1235989,2012,0
11512,198,58,4,30,0,3.1,2,62.5190954,2012,0
11552,198,58,5,31,0,3.1,2,75.058097,2012,0
11594,198,58,5,31,0,3.1,1,51.8272486,2012,0
11595,198,58,13,23,0,3.1,2,58.8625558,2012,0
11640,198,58,13,23,0,3.1,2,48.1255041,2012,0
11681,95,120,15,24,0,3.1,1,48.2517506,2012,0
11742,95,120,19,1,0,3.1,1,69.9071197,2012,0
11743,95,120,19,1,0,3.1,2,68.6045053,2012,0
11792,198,58,74,29,0,3.1,1,67.5609268,2012,0
11851,198,58,74,29,0,3.1,1,51.572079,2012,0
11852,198,58,75,38,0,3.1,2,38.7541157,2012,0
13028,198,58,75,38,0,3.3,1,72.6030555,2011,0
13072,198,58,77,34,0,3.1,1,47.3579133,2011,0
13073,198,58,77,34,0,3.1,2,52.4971433,2011,0
13074,198,58,80,29,0,3.3,1,43.2259789,2011,0
13075,95,120,23,45,0,3.3,2,57.8577881,2011,0
13120,95,120,23,45,0,3.1,1,58.5276828,2011,0
13121,95,120,82,40,0,3.1,2,48.9216453,2011,0
13122,95,120,82,40,0,3.3,1,59.4215201,2011,0
13123,198,60,4,30,0,3.3,2,50.374447,2011,0
13168,198,60,5,31,0,3.1,1,63.4426728,2011,0
13169,198,60,5,31,0,3.1,2,77.5156664,2011,0
13170,198,60,13,23,0,3.3,2,68.4685932,2011,0
13217,198,60,13,23,0,3.1,1,42.0390533,2011,0
13218,310,103,22,44,0,3.1,2,43.3739357,2011,0
13219,310,103,22,44,0,3.3,2,43.3739357,2011,0
13259,310,103,82,40,0,3.1,1,61.5862986,2011,0
13260,310,103,82,40,0,3.3,1,60.2836843,2011,0
13261,95,124,15,24,0,3.3,2,67.9952803,2011,0
13301,95,124,15,24,0,3.1,1,36.100262,2011,0
13302,95,124,19,1,0,3.3,2,37.1072602,2011,0
13342,95,124,19,1,0,3.1,1,64.9377053,2011,0
13343,198,60,74,29,0,3.1,2,60.7027216,2011,0
13344,198,60,74,29,0,3.3,2,64.83763,2011,0
13386,198,60,75,38,0,3.1,2,67.2397342,2011,0
13387,198,60,75,38,0,3.3,1,80.6429817,2011,0
13430,198,60,77,34,0,3.1,2,59.1974288,2011,0
13431,198,60,77,34,0,3.3,2,59.9804844,2011,0
13476,198,60,80,29,0,3.1,1,76.4001169,2011,0
13477,95,124,23,45,0,3.3,1,76.73499,2011,0
13521,95,124,23,45,0,3.1,2,62.5488355,2011,0
13522,25,110,87,27,0,3.3,1,58.0818794,2011,0
13523,95,124,82,40,0,3.3,2,63.6667641,2011,0
13570,95,124,82,40,0,3.1,1,42.7568295,2011,0
13571,198,61,4,30,0,3.1,2,41.0149546,2011,0
13572,198,61,5,31,0,3.3,1,46.5915121,2011,0
13573,198,61,5,31,0,3.3,2,49.0325757,2011,0
13635,198,61,13,23,0,3.1,1,45.2215365,2011,0
13636,25,110,87,27,0,3.1,2,53.311426,2011,0
13637,310,104,22,44,0,3.3,1,56.0072132,2011,0
13638,310,104,22,44,0,3.3,2,61.9180489,2011,0
13692,310,104,82,40,0,3.1,1,68.556029,2011,0
13693,310,104,82,40,0,3.1,2,47.2954592,2011,0
13740,95,126,15,24,0,3.1,2,47.0230403,2011,0
13741,95,126,15,24,0,3.3,2,49.704701,2011,0
13789,343,64,75,38,0,3.3,1,50.7183907,2011,0
13855,95,126,19,1,0,3.1,1,72.6030555,2011,0
13856,95,126,19,1,0,3.1,2,71.4851269,2011,0
13857,343,64,75,38,0,3.3,1,63.6667641,2011,0
13858,198,61,74,29,0,3.3,2,65.9002422,2011,0
13905,198,61,74,29,0,3.1,1,65.7894605,2011,0
13906,343,64,84,27,0,3.1,2,58.5276828,2011,0
13907,198,61,75,38,0,3.3,1,56.518296,2011,0
13908,198,61,77,34,0,3.3,2,45.1244352,2011,0
13953,198,61,77,34,0,3.1,2,61.2960357,2011,0
13954,198,61,80,29,0,3.3,1,52.7923134,2011,0
13955,198,61,80,29,0,3.3,2,64.7191159,2011,0
13993,343,64,84,27,0,3.1,2,30.3427362,2011,0
13994,95,126,23,45,0,3.3,2,46.1654858,2011,0
14030,95,126,23,45,0,3.3,1,63.8889223,2011,0
14031,240,99,22,44,0,3.3,2,61.9858563,2011,0
14070,198,64,4,30,0,3.1,2,71.9959123,2011,0
14071,198,64,4,30,0,3.3,1,66.349317,2011,0
14072,95,126,82,40,0,3.3,2,69.172689,2011,0
14109,95,126,82,40,0,3.1,1,47.6666151,2011,0
14148,198,64,13,23,0,3.1,1,55.4076537,2011,0
14149,198,64,13,23,0,3.1,2,60.1129764,2011,0
14193,198,50,77,34,0,3.1,1,52.895214,2011,0
14194,161,103,76,42,0,3.3,1,52.895214,2011,0
14232,198,50,77,34,0,3.1,1,46.8014769,2011,0
14233,95,127,15,24,0,3.1,2,50.374447,2011,0
14234,95,127,15,24,0,3.3,2,66.9048612,2011,0
14281,310,110,22,44,0,3.1,1,58.6408437,2011,0
14656,310,110,22,44,0,2.1,1,51.5698485,2011,1
14657,310,110,82,40,0,2.1,2,55.6254996,2011,1
14662,95,127,19,1,0,1.9,2,58.8290982,2011,0
14666,95,127,19,1,0,2.2,1,58.8290982,2011,0
14667,198,64,74,29,0,2.2,2,61.4982681,2011,0
14710,198,64,74,29,0,1.9,2,67.458621,2011,0
14717,198,64,75,38,0,2.2,1,63.6283994,2011,0
14718,198,64,75,38,0,2.2,2,64.6353977,2011,0
14756,198,64,77,34,0,2.1,1,46.0817676,2011,1
14759,198,64,77,34,0,1.9,1,55.7631961,2011,0
14760,198,64,80,29,0,1.9,2,51.4259066,2011,0
14765,198,64,80,29,0,2.2,1,55.6608903,2011,0
14766,95,127,23,45,0,2.2,2,49.611912,2011,0
14820,95,127,23,45,0,2.1,1,50.4189084,2011,1
14821,186,99,103,79,0,2.1,2,47.7956869,2011,1
14826,0,110,20,39,0,1.9,1,55.2585073,2011,0
14827,0,110,20,39,0,1.9,2,53.4422823,2011,0
14834,198,67,4,30,0,2.2,1,50.6190589,2011,0
14835,198,67,4,30,0,2.2,2,53.7445899,2011,0
14877,95,127,82,40,0,2.1,1,58.9349728,2011,1
14880,95,127,82,40,0,1.9,1,70.4663814,2011,0
14886,198,67,13,23,0,2.2,2,64.0615633,2011,0
14916,198,67,13,23,0,2.1,1,57.4402377,2011,1
14920,95,131,15,24,0,1.9,2,66.9426311,2011,0
14923,95,131,15,24,0,2.2,2,60.4297079,2011,0
14955,95,131,19,1,0,1.9,1,51.6926749,2011,0
14960,95,131,19,1,0,2.2,2,65.5789009,2011,0
14987,198,67,74,29,0,2.1,2,63.1256438,2011,1
14989,198,67,74,29,0,1.9,2,66.1512482,2011,0
15025,198,67,75,38,0,1.9,2,54.451511,2011,0
15030,198,67,75,38,0,2.2,1,58.4841136,2011,0
15065,198,67,77,34,0,2.1,2,61.9242944,2011,1
15069,198,67,77,34,0,1.9,1,49.5408333,2011,0
15070,198,67,80,29,0,1.9,2,49.9668595,2011,0
15075,198,67,80,29,0,2.2,2,55.519625,2011,0
15118,95,131,23,45,0,2.1,1,64.4474405,2011,1
15119,95,131,23,45,0,2.1,2,63.2185815,2011,1
15123,198,68,4,30,0,1.9,1,72.2656546,2011,0
15129,198,68,5,31,0,2.2,1,64.7823135,2011,0
15130,198,68,5,31,0,2.2,2,68.0227898,2011,0
15152,95,131,82,40,0,1.9,1,47.3579133,2011,0
15156,95,131,82,40,0,2.2,1,58.5276828,2011,0
15196,198,68,13,23,0,1.9,1,56.3678114,2011,0
15197,276,69,42,27,0,1.9,2,53.6445146,2011,0
15203,95,132,15,24,0,2.2,1,70.1819178,2011,0
15204,95,132,15,24,0,2.2,2,68.4679984,2011,0
15241,95,132,19,1,0,2.1,2,52.8320163,2011,1
15245,95,132,19,1,0,1.9,1,51.9380303,2011,0
15246,198,68,74,29,0,1.9,2,54.284818,2011,0
15250,198,68,75,38,0,2.2,1,46.3532943,2011,0
15287,198,68,75,38,0,2.1,2,46.5773856,2011,1
15290,198,68,77,34,0,1.9,2,47.2471316,2011,0
15294,198,68,77,34,0,2.2,2,61.2091948,2011,0
15330,198,68,80,29,0,2.1,1,37.8651855,2011,1
15371,198,68,80,29,0,2.1,2,48.0276593,2011,1
15410,311,70,22,44,0,2.1,1,43.6716336,2011,1
15411,95,132,23,45,0,2.1,2,51.1575026,2011,1
15414,95,132,23,45,0,1.9,1,35.2968344,2011,0
15419,311,70,82,40,0,2.2,1,51.379066,2011,0
15420,198,70,4,30,0,2.2,2,45.4593083,2011,0
15458,198,70,4,30,0,2.1,1,51.8593679,2011,1
15459,198,70,5,31,0,2.1,2,52.37625,2011,1
15460,198,70,5,31,0,1.9,2,54.1414709,2011,0
15465,198,70,13,23,0,2.2,1,57.4592713,2011,0
15466,95,132,82,40,0,2.2,2,70.9431144,2011,0
15504,95,133,15,24,0,2.1,1,49.5524319,2011,1
15505,95,133,15,24,0,2.1,2,53.0101593,2011,1
15507,198,70,74,29,0,1.9,1,55.3145674,2011,0
15508,95,133,19,1,0,1.9,2,59.9257627,2011,0
15548,95,133,19,1,0,2.1,1,49.0102707,2011,1
15551,198,70,75,38,0,1.9,1,39.4971709,2011,0
15552,198,70,75,38,0,1.9,2,50.5087233,2011,0
15558,198,70,77,34,0,2.2,1,54.7270526,2011,0
15596,198,70,77,34,0,1.9,1,54.475303,2011,0
15601,198,70,80,29,0,2.2,1,59.4823385,2011,0
15602,198,70,80,29,0,2.2,2,67.1937858,2011,0
15638,95,133,23,45,0,2.1,1,40.3350969,2011,1
15639,95,133,23,45,0,2.1,2,32.4698936,2011,1
15679,311,99,22,44,0,2.1,1,55.4608884,2011,1
15684,311,99,22,44,0,1.9,2,53.4422823,2011,0
15725,311,99,82,40,0,2.1,1,55.3585826,2011,1
15729,311,99,82,40,0,1.9,1,61.8120257,2011,0
15730,198,71,4,30,0,1.9,2,61.6097933,2011,0
15735,198,71,4,30,0,2.2,1,58.384187,2011,0
15736,198,71,5,31,0,2.2,2,55.056275,2011,0
15790,198,71,5,31,0,2.1,1,53.949945,2011,1
15791,198,71,13,23,0,2.1,2,51.6031573,2011,1
15796,95,133,82,40,0,1.9,1,51.379066,2011,0
15797,95,133,82,40,0,1.9,2,50.8201017,2011,0
15803,95,134,15,24,0,2.2,1,51.6031573,2011,0
15804,95,134,15,24,0,2.2,2,51.2682843,2011,0
15846,198,71,74,29,0,1.9,1,40.2553936,2011,0
15847,95,134,19,1,0,1.9,2,48.4681095,2011,0
15852,95,134,19,1,0,2.2,2,52.773131,2011,0
16442,198,71,75,38,0,2.1,1,45.1627999,2012,0
16443,198,71,75,38,0,2.1,1,52.1017493,2012,0
16510,198,71,77,34,0,2.1,1,54.2492786,2012,0
16511,198,71,77,34,0,2.1,2,53.8468957,2012,0
16512,198,71,80,29,0,2.1,1,57.8794983,2012,0
16513,198,71,80,29,0,2.1,2,57.3748096,2012,0
16800,95,134,23,45,0,1.9,1,64.5936129,2012,0
16801,95,134,23,45,0,1.9,2,65.127893,2012,0
16828,198,72,4,30,0,2.0,1,61.9242944,2012,0
16829,198,72,4,30,0,2.0,2,56.3740568,2012,0
16836,198,72,5,31,0,2.0,1,65.127893,2011,0
16837,198,72,5,31,0,2.0,2,59.7894046,2011,0
16860,311,103,22,44,0,1.9,1,64.5353224,2012,0
16877,198,72,13,23,0,2.0,1,61.509718,2012,0
16880,198,72,13,23,0,2.0,2,65.1399377,2011,0
16904,311,103,82,40,0,1.9,1,74.6191338,2012,0
16921,311,103,82,40,0,2.0,2,67.5609268,2012,0
16939,95,134,82,40,0,1.9,1,51.7283629,2012,0
16940,95,134,82,40,0,1.9,2,41.6445515,2012,0
16956,343,68,56,4,0,2.0,1,45.8793865,2012,0
16957,95,135,15,24,0,2.0,2,50.6190589,2012,0
16962,95,135,15,24,0,2.0,1,46.1840734,2011,0
16963,160,120,76,42,0,2.0,2,46.0817676,2011,0
16998,198,72,74,29,0,1.9,1,55.3585826,2012,0
16999,198,72,74,29,0,1.9,2,54.0491281,2012,0
17026,198,72,75,38,0,2.0,1,56.670119,2012,0
17027,95,135,19,1,0,2.0,2,53.342207,2012,0
17034,95,135,19,1,0,2.0,1,53.0398993,2011,0
17035,198,72,77,34,0,2.0,2,53.342207,2011,0
17063,198,72,80,29,0,1.9,1,76.4450244,2012,0
17079,198,72,80,29,0,2.0,1,69.1859233,2012,0
17085,95,135,23,45,0,2.0,1,82.9580963,2011,0
17086,95,135,23,45,0,2.0,2,81.5692357,2011,0
17111,198,76,4,30,0,1.9,1,66.1493151,2012,0
17130,198,76,4,30,0,2.0,1,57.6772659,2012,0
17131,198,76,5,31,0,2.0,2,55.2585073,2012,0
17135,198,76,5,31,0,2.0,2,53.8468957,2011,0
17153,198,76,13,23,0,1.9,2,62.7210304,2012,0
17170,198,76,13,23,0,2.0,1,61.8139588,2012,0
17171,95,135,82,40,0,2.0,2,66.4535559,2012,0
17175,95,135,82,40,0,2.0,2,59.9998155,2011,0
17195,311,104,22,44,0,1.9,1,56.4678866,2012,0
17212,311,104,22,44,0,2.0,1,66.5516981,2012,0
17213,311,104,82,40,0,2.0,2,66.5516981,2012,0
17218,311,104,82,40,0,2.0,1,52.435284,2011,0
17219,161,104,76,42,0,2.0,2,58.4841136,2011,0
17242,198,51,77,34,0,1.9,1,55.6254996,2012,0
17243,342,60,4,30,0,1.9,2,63.6331579,2012,0
17263,198,51,77,34,0,2.0,1,49.2206816,2012,0
17264,95,136,15,24,0,2.0,2,51.0355684,2012,0
17269,95,136,15,24,0,2.0,1,62.6728515,2011,0
17270,198,76,74,29,0,2.0,2,69.9319526,2011,0
17291,198,76,74,29,0,1.9,1,63.4260184,2012,0
17292,198,76,75,38,0,1.9,2,60.5027198,2012,0
17317,95,136,19,1,0,2.0,1,67.9633097,2011,0
17318,95,136,19,1,0,2.0,2,69.5773025,2011,0
17342,198,76,80,29,0,1.9,1,58.5864194,2012,0
17343,198,76,80,29,0,1.9,2,55.1584321,2012,0
17362,126,60,57,68,0,2.0,2,57.6772659,2012,0
17365,95,136,23,45,0,2.0,1,59.29111,2011,0
18810,95,136,23,45,0,2.1,1,60.5027198,2012,0
18811,126,60,76,42,0,2.1,2,63.1237107,2012,0
18942,198,78,4,30,0,2.1,1,81.5345886,2012,0
19013,198,78,4,30,0,2.1,1,56.2153936,2012,0
19014,198,78,5,31,0,2.1,2,46.154482,2012,0
19085,198,78,5,31,0,2.0,1,64.2330147,2012,1
19086,198,78,13,23,0,2.0,2,62.0144067,2012,1
19128,198,78,13,23,0,2.0,1,66.8540057,2012,1
19129,95,136,82,40,0,2.0,2,68.2656174,2012,1
19169,95,136,82,40,0,2.0,1,67.5747559,2012,1
19208,311,110,22,44,0,2.0,1,56.9187459,2012,1
19279,311,110,22,44,0,2.0,1,53.9332905,2012,1
19280,311,110,82,40,0,2.0,2,53.9332905,2012,1
21629,311,110,82,40,0,2.9,1,59.3107384,2012,0
21630,95,137,15,24,0,2.9,2,70.5911409,2012,0
21672,95,137,15,24,0,2.9,1,61.1845105,2012,0
21717,198,78,74,29,0,2.9,1,58.0818794,2012,0
21718,198,78,74,29,0,2.9,2,55.84855,2012,0
21789,198,78,75,38,0,2.9,1,63.3699584,2012,0
21790,198,78,75,38,0,2.9,2,70.6321822,2012,0
21834,95,137,19,1,0,2.9,2,67.1008482,2012,0
22943,95,137,19,1,0,2.5,1,88.0155411,2012,1
23014,198,78,80,29,0,2.5,1,65.135328,2012,1
23015,198,78,80,29,0,2.5,2,65.9629937,2012,1
23061,95,137,23,45,0,2.5,1,52.5842817,2012,1
23062,95,137,23,45,0,2.5,2,70.6321822,2012,1
23111,198,80,4,30,0,2.5,1,71.5770237,2012,1
23156,198,80,4,30,0,2.5,1,54.3472721,2012,1
23157,198,80,5,31,0,2.5,2,57.9782353,2012,1
23908,198,80,5,31,0,2.8,1,57.7702036,2012,1
23909,198,80,13,23,0,2.8,2,58.2893163,2012,1
24023,198,80,13,23,0,2.8,1,73.1544361,2012,1
24024,95,137,82,40,0,2.8,2,73.8671565,2012,1
24070,95,137,82,40,0,2.8,2,49.7832147,2012,1
24112,311,116,22,44,0,2.8,2,54.0755967,2012,1
28609,311,116,22,44,0,2.7,1,64.9271476,2011,0
28610,311,116,82,40,0,2.3,1,74.6771269,2011,0
28611,95,138,15,24,0,2.3,2,65.7571925,2011,0
28651,95,138,15,24,0,2.7,1,58.9758654,2011,0
28652,198,80,74,29,0,2.7,2,67.0181708,2011,0
28653,198,80,74,29,0,2.3,2,62.8837085,2011,0
28697,198,80,75,38,0,2.7,1,59.9804844,2011,0
28698,198,80,75,38,0,2.7,2,62.3247442,2011,0
28699,95,138,19,1,0,2.3,1,61.9898712,2011,0
28700,95,138,19,1,0,2.3,2,66.1243335,2011,0
28740,198,80,80,29,0,2.7,2,62.5885385,2011,0
28741,198,80,80,29,0,2.3,1,55.3782111,2011,0
28782,95,138,23,45,0,2.7,1,39.9304835,2011,0
28783,95,138,23,45,0,2.3,2,47.7956869,2011,0
28825,1,110,15,24,0,2.7,1,61.3074856,2011,0
28826,1,110,15,24,0,2.3,1,63.6283994,2011,0
28827,198,82,4,30,0,2.3,2,62.8214031,2011,0
28867,198,82,4,30,0,2.3,1,75.1714066,2011,0
28909,198,82,5,31,0,2.7,1,54.284818,2011,0
28910,198,82,5,31,0,2.7,2,61.5440678,2011,0
28911,198,82,13,23,0,2.3,2,56.7398594,2011,0
28974,198,82,13,23,0,2.7,1,72.1507093,2011,0
28975,95,138,82,40,0,2.7,2,70.4342621,2011,0
28976,95,144,15,24,0,2.3,1,65.0130964,2011,0
28977,95,144,15,24,0,2.3,2,65.2529499,2011,0
29009,198,82,74,29,0,2.7,1,45.1630973,2011,0
29010,198,82,74,29,0,2.7,2,58.1819547,2011,0
29011,198,82,75,38,0,2.3,1,53.6760391,2011,0
29012,198,82,75,38,0,2.3,2,43.0591372,2011,0
29049,95,144,19,1,0,2.8,2,73.4557029,2011,0
29050,95,144,19,1,0,2.8,1,77.6196079,2011,1
29051,198,82,80,29,0,2.8,2,84.5609365,2011,1
29057,198,82,80,29,0,2.4,2,68.1172145,2011,1
29058,312,93,82,40,0,2.7,1,64.4875896,2011,1
29059,312,93,82,40,0,2.7,2,71.106536,2011,1
29094,95,144,23,45,0,2.8,1,56.9639507,2011,0
29095,95,144,23,45,0,2.8,2,49.0348062,2011,0
29096,198,83,4,30,0,2.8,1,77.963849,2011,1
29097,198,83,4,30,0,2.8,2,57.5229151,2011,1
29103,198,83,5,31,0,2.4,1,65.3412779,2011,1
29104,198,83,5,31,0,2.7,1,58.9758654,2011,1
29105,198,83,13,23,0,2.7,2,48.4758419,2011,1
29150,198,83,13,23,0,2.8,1,77.069863,2011,0
29151,95,144,82,40,0,2.8,2,80.3081087,2011,0
29152,95,144,82,40,0,2.8,1,71.1501052,2011,1
29153,124,57,83,27,0,2.8,2,66.4592065,2011,1
29159,95,145,15,24,0,2.4,2,80.7561427,2011,1
29197,95,145,15,24,0,2.8,1,65.6520614,2011,0
29198,198,83,74,29,0,2.8,2,96.5595613,2011,0
29199,2,20,37,11,0,2.8,1,69.1802727,2011,1
29200,2,20,37,11,0,2.8,2,69.6970062,2011,1
29206,95,145,19,1,0,2.4,1,52.37625,2011,1
29207,95,145,19,1,0,2.4,2,75.5071718,2011,1
29240,198,83,75,38,0,2.8,2,63.728326,2011,0
29241,198,83,77,34,0,2.8,2,63.1237107,2011,1
29246,198,83,77,34,0,2.4,1,60.400414,2011,1
29247,198,83,80,29,0,2.4,2,61.7120991,2011,1
29248,198,83,80,29,0,2.7,2,60.1981816,2011,1
29283,124,57,83,27,0,2.8,2,59.0866471,2011,0
29284,312,99,22,44,0,2.8,1,49.2565183,2011,1
29290,312,99,22,44,0,2.4,1,45.4593083,2011,1
29291,95,145,23,45,0,2.7,1,43.3367606,2011,1
29292,95,145,23,45,0,2.7,2,45.6833996,2011,1
